close,volume,open,high,low,label
0.5833505988,0.723123195,0.558456439,0.567124105,0.5630835729,
0.6525504496,0.3320559129,0.6393992716,0.6472894647,0.6577326423,0
0.6474536941,0.1697990544,0.6186929656,0.6215905217,0.6385782329,0
0.6225085982,0.1528012718,0.6191021811,0.6126832595,0.6355567679,0
0.6232337463,0.1581407632,0.5853828211,0.5945277872,0.5991732936,0
0.5876186135,0.1581952949,0.5582927528,0.5575349472,0.5684131014,0
0.5677702731,0.1430757229,0.5777304906,0.554849983,0.5715604608,0
0.5792483322,0.2160377126,0.5838687237,0.5630753495,0.5766382005,1
0.5788753988,0.1813575448,0.6096083807,0.5823815206,0.5928785749,1
0.6073426429,0.2136193604,0.6254859434,0.6180105694,0.6240164502,1
0.6481166867,0.233673872,0.6087490281,0.6224002728,0.6189806752,1
0.6202295612,0.2531453647,0.6087490281,0.6191186498,0.6173440483,0
0.5967761986,0.2705219552,0.5997053648,0.584725537,0.5936339411,0
0.6113620354,0.2426188443,0.6411588984,0.616646778,0.6209110556,1
0.6491940496,0.2873977591,0.6599828129,0.6349296795,0.6501605153,1
0.6232544648,0.2994129847,0.6547448541,0.6349301057,0.6405086133,1
0.6516388348,0.2939632558,0.6482792487,0.6563672008,0.6656035586,1
0.6672605975,0.4482002231,0.6410361337,0.6483549267,0.6405086133,0
0.6049392947,0.4144723587,0.6467651512,0.6585833617,0.6217503515,0
0.6448845979,0.5568947456,0.6493432091,0.6576457552,0.6481462053,1
0.6714871752,0.7964743423,0.6016286778,0.6447749744,0.6175119075,1
0.5936684208,0.8336254371,0.4520194787,0.5685305148,0.4655993621,0
0.5132391331,0.7879419232,0.5217498056,0.5045175588,0.4760485952,0
0.4508763933,0.668948139,0.4662601792,0.44903597,0.4345038713,1
0.507437948,0.6220330971,0.467201375,0.4943313161,0.4496947061,1
0.4728380226,0.880681809,0.5003069117,0.4846147289,0.4660190101,0
0.5615132806,0.568659056,0.6616196751,0.636293897,0.5712667072,1
0.6651058716,0.3328717568,0.6752874739,0.6504432322,0.6307727816,1
0.654166494,0.2578591338,0.6912878013,0.6675758609,0.6689187771,1
0.6854928935,0.1832789807,0.7020910914,0.6983037845,0.701357561,1
